n,signature,new_signature_at_n,first_seen_n
298,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
299,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
300,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
301,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
302,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
303,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
304,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
305,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
306,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
307,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
308,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
309,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
310,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
311,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
312,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
313,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
314,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
315,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
316,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
